WKT
"POLYGON ((-73.745 41.88008169510158,-73.74466666651125 41.880659045639959,-73.743999999533756 41.880659045639959,-73.743666666045002 41.88008169510158,-73.743999999533756 41.879504344563202,-73.74466666651125 41.879504344563202,-73.745 41.88008169510158))"
"POLYGON ((-73.745 41.881236396178338,-73.74466666651125 41.881813746716723,-73.743999999533756 41.881813746716723,-73.743666666045002 41.881236396178338,-73.743999999533756 41.880659045639959,-73.74466666651125 41.880659045639959,-73.745 41.881236396178338))"
"POLYGON ((-73.745 41.882391097255102,-73.74466666651125 41.88296844779348,-73.743999999533756 41.88296844779348,-73.743666666045002 41.882391097255102,-73.743999999533756 41.881813746716723,-73.74466666651125 41.881813746716723,-73.745 41.882391097255102))"
"POLYGON ((-73.745 41.883545798331859,-73.74466666651125 41.884123148870238,-73.743999999533756 41.884123148870238,-73.743666666045002 41.883545798331859,-73.743999999533756 41.88296844779348,-73.74466666651125 41.88296844779348,-73.745 41.883545798331859))"
"POLYGON ((-73.745 41.884700499408623,-73.74466666651125 41.885277849947002,-73.743999999533756 41.885277849947002,-73.743666666045002 41.884700499408623,-73.743999999533756 41.884123148870238,-73.74466666651125 41.884123148870238,-73.745 41.884700499408623))"
"POLYGON ((-73.745 41.885855200485381,-73.74466666651125 41.886432551023759,-73.743999999533756 41.886432551023759,-73.743666666045002 41.885855200485381,-73.743999999533756 41.885277849947002,-73.74466666651125 41.885277849947002,-73.745 41.885855200485381))"
"POLYGON ((-73.745 41.887009901562138,-73.74466666651125 41.887587252100523,-73.743999999533756 41.887587252100523,-73.743666666045002 41.887009901562138,-73.743999999533756 41.886432551023759,-73.74466666651125 41.886432551023759,-73.745 41.887009901562138))"
"POLYGON ((-73.745 41.888164602638902,-73.74466666651125 41.888741953177281,-73.743999999533756 41.888741953177281,-73.743666666045002 41.888164602638902,-73.743999999533756 41.887587252100523,-73.74466666651125 41.887587252100523,-73.745 41.888164602638902))"
"POLYGON ((-73.745 41.889319303715659,-73.74466666651125 41.889896654254038,-73.743999999533756 41.889896654254038,-73.743666666045002 41.889319303715659,-73.743999999533756 41.888741953177281,-73.74466666651125 41.888741953177281,-73.745 41.889319303715659))"
"POLYGON ((-73.745 41.890474004792424,-73.74466666651125 41.891051355330802,-73.743999999533756 41.891051355330802,-73.743666666045002 41.890474004792424,-73.743999999533756 41.889896654254038,-73.74466666651125 41.889896654254038,-73.745 41.890474004792424))"
"POLYGON ((-73.745 41.891628705869181,-73.74466666651125 41.892206056407559,-73.743999999533756 41.892206056407559,-73.743666666045002 41.891628705869181,-73.743999999533756 41.891051355330802,-73.74466666651125 41.891051355330802,-73.745 41.891628705869181))"
"POLYGON ((-73.745 41.892783406945938,-73.74466666651125 41.893360757484324,-73.743999999533756 41.893360757484324,-73.743666666045002 41.892783406945938,-73.743999999533756 41.892206056407559,-73.74466666651125 41.892206056407559,-73.745 41.892783406945938))"
"POLYGON ((-73.745 41.893938108022702,-73.74466666651125 41.894515458561081,-73.743999999533756 41.894515458561081,-73.743666666045002 41.893938108022702,-73.743999999533756 41.893360757484324,-73.74466666651125 41.893360757484324,-73.745 41.893938108022702))"
"POLYGON ((-73.745 41.895092809099459,-73.74466666651125 41.895670159637838,-73.743999999533756 41.895670159637838,-73.743666666045002 41.895092809099459,-73.743999999533756 41.894515458561081,-73.74466666651125 41.894515458561081,-73.745 41.895092809099459))"
"POLYGON ((-73.745 41.896247510176224,-73.74466666651125 41.896824860714602,-73.743999999533756 41.896824860714602,-73.743666666045002 41.896247510176224,-73.743999999533756 41.895670159637838,-73.74466666651125 41.895670159637838,-73.745 41.896247510176224))"
"POLYGON ((-73.745 41.897402211252981,-73.74466666651125 41.89797956179136,-73.743999999533756 41.89797956179136,-73.743666666045002 41.897402211252981,-73.743999999533756 41.896824860714602,-73.74466666651125 41.896824860714602,-73.745 41.897402211252981))"
"POLYGON ((-73.745 41.898556912329738,-73.74466666651125 41.899134262868124,-73.743999999533756 41.899134262868124,-73.743666666045002 41.898556912329738,-73.743999999533756 41.89797956179136,-73.74466666651125 41.89797956179136,-73.745 41.898556912329738))"
"POLYGON ((-73.745 41.899711613406502,-73.74466666651125 41.900288963944881,-73.743999999533756 41.900288963944881,-73.743666666045002 41.899711613406502,-73.743999999533756 41.899134262868124,-73.74466666651125 41.899134262868124,-73.745 41.899711613406502))"
"POLYGON ((-73.745 41.90086631448326,-73.74466666651125 41.901443665021638,-73.743999999533756 41.901443665021638,-73.743666666045002 41.90086631448326,-73.743999999533756 41.900288963944881,-73.74466666651125 41.900288963944881,-73.745 41.90086631448326))"
"POLYGON ((-73.745 41.902021015560024,-73.74466666651125 41.902598366098402,-73.743999999533756 41.902598366098402,-73.743666666045002 41.902021015560024,-73.743999999533756 41.901443665021638,-73.74466666651125 41.901443665021638,-73.745 41.902021015560024))"
"POLYGON ((-73.745 41.903175716636781,-73.74466666651125 41.90375306717516,-73.743999999533756 41.90375306717516,-73.743666666045002 41.903175716636781,-73.743999999533756 41.902598366098402,-73.74466666651125 41.902598366098402,-73.745 41.903175716636781))"
"POLYGON ((-73.745 41.904330417713538,-73.74466666651125 41.904907768251917,-73.743999999533756 41.904907768251917,-73.743666666045002 41.904330417713538,-73.743999999533756 41.90375306717516,-73.74466666651125 41.90375306717516,-73.745 41.904330417713538))"
"POLYGON ((-73.745 41.905485118790303,-73.74466666651125 41.906062469328681,-73.743999999533756 41.906062469328681,-73.743666666045002 41.905485118790303,-73.743999999533756 41.904907768251917,-73.74466666651125 41.904907768251917,-73.745 41.905485118790303))"
"POLYGON ((-73.745 41.90663981986706,-73.74466666651125 41.907217170405438,-73.743999999533756 41.907217170405438,-73.743666666045002 41.90663981986706,-73.743999999533756 41.906062469328681,-73.74466666651125 41.906062469328681,-73.745 41.90663981986706))"
"POLYGON ((-73.745 41.907794520943824,-73.74466666651125 41.908371871482203,-73.743999999533756 41.908371871482203,-73.743666666045002 41.907794520943824,-73.743999999533756 41.907217170405438,-73.74466666651125 41.907217170405438,-73.745 41.907794520943824))"
"POLYGON ((-73.745 41.908949222020581,-73.74466666651125 41.90952657255896,-73.743999999533756 41.90952657255896,-73.743666666045002 41.908949222020581,-73.743999999533756 41.908371871482203,-73.74466666651125 41.908371871482203,-73.745 41.908949222020581))"
"POLYGON ((-73.745 41.910103923097338,-73.74466666651125 41.910681273635717,-73.743999999533756 41.910681273635717,-73.743666666045002 41.910103923097338,-73.743999999533756 41.90952657255896,-73.74466666651125 41.90952657255896,-73.745 41.910103923097338))"
"POLYGON ((-73.745 41.911258624174103,-73.74466666651125 41.911835974712481,-73.743999999533756 41.911835974712481,-73.743666666045002 41.911258624174103,-73.743999999533756 41.910681273635717,-73.74466666651125 41.910681273635717,-73.745 41.911258624174103))"
"POLYGON ((-73.745 41.91241332525086,-73.74466666651125 41.912990675789239,-73.743999999533756 41.912990675789239,-73.743666666045002 41.91241332525086,-73.743999999533756 41.911835974712481,-73.74466666651125 41.911835974712481,-73.745 41.91241332525086))"
"POLYGON ((-73.745 41.913568026327617,-73.74466666651125 41.914145376866003,-73.743999999533756 41.914145376866003,-73.743666666045002 41.913568026327617,-73.743999999533756 41.912990675789239,-73.74466666651125 41.912990675789239,-73.745 41.913568026327617))"
"POLYGON ((-73.745 41.914722727404381,-73.74466666651125 41.91530007794276,-73.743999999533756 41.91530007794276,-73.743666666045002 41.914722727404381,-73.743999999533756 41.914145376866003,-73.74466666651125 41.914145376866003,-73.745 41.914722727404381))"
"POLYGON ((-73.745 41.915877428481139,-73.74466666651125 41.916454779019517,-73.743999999533756 41.916454779019517,-73.743666666045002 41.915877428481139,-73.743999999533756 41.91530007794276,-73.74466666651125 41.91530007794276,-73.745 41.915877428481139))"
"POLYGON ((-73.745 41.917032129557903,-73.74466666651125 41.917609480096282,-73.743999999533756 41.917609480096282,-73.743666666045002 41.917032129557903,-73.743999999533756 41.916454779019517,-73.74466666651125 41.916454779019517,-73.745 41.917032129557903))"
"POLYGON ((-73.745 41.91818683063466,-73.74466666651125 41.918764181173039,-73.743999999533756 41.918764181173039,-73.743666666045002 41.91818683063466,-73.743999999533756 41.917609480096282,-73.74466666651125 41.917609480096282,-73.745 41.91818683063466))"
"POLYGON ((-73.745 41.919341531711417,-73.74466666651125 41.919918882249803,-73.743999999533756 41.919918882249803,-73.743666666045002 41.919341531711417,-73.743999999533756 41.918764181173039,-73.74466666651125 41.918764181173039,-73.745 41.919341531711417))"
"POLYGON ((-73.745 41.920496232788182,-73.74466666651125 41.92107358332656,-73.743999999533756 41.92107358332656,-73.743666666045002 41.920496232788182,-73.743999999533756 41.919918882249803,-73.74466666651125 41.919918882249803,-73.745 41.920496232788182))"
"POLYGON ((-73.745 41.921650933864939,-73.74466666651125 41.922228284403317,-73.743999999533756 41.922228284403317,-73.743666666045002 41.921650933864939,-73.743999999533756 41.92107358332656,-73.74466666651125 41.92107358332656,-73.745 41.921650933864939))"
"POLYGON ((-73.745 41.922805634941703,-73.74466666651125 41.923382985480082,-73.743999999533756 41.923382985480082,-73.743666666045002 41.922805634941703,-73.743999999533756 41.922228284403317,-73.74466666651125 41.922228284403317,-73.745 41.922805634941703))"
"POLYGON ((-73.745 41.92396033601846,-73.74466666651125 41.924537686556839,-73.743999999533756 41.924537686556839,-73.743666666045002 41.92396033601846,-73.743999999533756 41.923382985480082,-73.74466666651125 41.923382985480082,-73.745 41.92396033601846))"
"POLYGON ((-73.745 41.925115037095217,-73.74466666651125 41.925692387633603,-73.743999999533756 41.925692387633603,-73.743666666045002 41.925115037095217,-73.743999999533756 41.924537686556839,-73.74466666651125 41.924537686556839,-73.745 41.925115037095217))"
"POLYGON ((-73.745 41.926269738171982,-73.74466666651125 41.92684708871036,-73.743999999533756 41.92684708871036,-73.743666666045002 41.926269738171982,-73.743999999533756 41.925692387633603,-73.74466666651125 41.925692387633603,-73.745 41.926269738171982))"
"POLYGON ((-73.745 41.927424439248739,-73.74466666651125 41.928001789787118,-73.743999999533756 41.928001789787118,-73.743666666045002 41.927424439248739,-73.743999999533756 41.92684708871036,-73.74466666651125 41.92684708871036,-73.745 41.927424439248739))"
"POLYGON ((-73.745 41.928579140325503,-73.74466666651125 41.929156490863882,-73.743999999533756 41.929156490863882,-73.743666666045002 41.928579140325503,-73.743999999533756 41.928001789787118,-73.74466666651125 41.928001789787118,-73.745 41.928579140325503))"
"POLYGON ((-73.745 41.92973384140226,-73.74466666651125 41.930311191940639,-73.743999999533756 41.930311191940639,-73.743666666045002 41.92973384140226,-73.743999999533756 41.929156490863882,-73.74466666651125 41.929156490863882,-73.745 41.92973384140226))"
"POLYGON ((-73.745 41.930888542479018,-73.74466666651125 41.931465893017403,-73.743999999533756 41.931465893017403,-73.743666666045002 41.930888542479018,-73.743999999533756 41.930311191940639,-73.74466666651125 41.930311191940639,-73.745 41.930888542479018))"
"POLYGON ((-73.745 41.932043243555782,-73.74466666651125 41.932620594094161,-73.743999999533756 41.932620594094161,-73.743666666045002 41.932043243555782,-73.743999999533756 41.931465893017403,-73.74466666651125 41.931465893017403,-73.745 41.932043243555782))"
"POLYGON ((-73.745 41.933197944632539,-73.74466666651125 41.933775295170918,-73.743999999533756 41.933775295170918,-73.743666666045002 41.933197944632539,-73.743999999533756 41.932620594094161,-73.74466666651125 41.932620594094161,-73.745 41.933197944632539))"
"POLYGON ((-73.745 41.934352645709303,-73.74466666651125 41.934929996247682,-73.743999999533756 41.934929996247682,-73.743666666045002 41.934352645709303,-73.743999999533756 41.933775295170918,-73.74466666651125 41.933775295170918,-73.745 41.934352645709303))"
"POLYGON ((-73.745 41.935507346786061,-73.74466666651125 41.936084697324439,-73.743999999533756 41.936084697324439,-73.743666666045002 41.935507346786061,-73.743999999533756 41.934929996247682,-73.74466666651125 41.934929996247682,-73.745 41.935507346786061))"
"POLYGON ((-73.745 41.936662047862818,-73.74466666651125 41.937239398401204,-73.743999999533756 41.937239398401204,-73.743666666045002 41.936662047862818,-73.743999999533756 41.936084697324439,-73.74466666651125 41.936084697324439,-73.745 41.936662047862818))"
"POLYGON ((-73.745 41.937816748939582,-73.74466666651125 41.938394099477961,-73.743999999533756 41.938394099477961,-73.743666666045002 41.937816748939582,-73.743999999533756 41.937239398401204,-73.74466666651125 41.937239398401204,-73.745 41.937816748939582))"
"POLYGON ((-73.745 41.938971450016339,-73.74466666651125 41.939548800554718,-73.743999999533756 41.939548800554718,-73.743666666045002 41.938971450016339,-73.743999999533756 41.938394099477961,-73.74466666651125 41.938394099477961,-73.745 41.938971450016339))"
"POLYGON ((-73.745 41.940126151093104,-73.74466666651125 41.940703501631482,-73.743999999533756 41.940703501631482,-73.743666666045002 41.940126151093104,-73.743999999533756 41.939548800554718,-73.74466666651125 41.939548800554718,-73.745 41.940126151093104))"
"POLYGON ((-73.745 41.941280852169861,-73.74466666651125 41.941858202708239,-73.743999999533756 41.941858202708239,-73.743666666045002 41.941280852169861,-73.743999999533756 41.940703501631482,-73.74466666651125 41.940703501631482,-73.745 41.941280852169861))"
"POLYGON ((-73.745 41.942435553246618,-73.74466666651125 41.943012903785004,-73.743999999533756 41.943012903785004,-73.743666666045002 41.942435553246618,-73.743999999533756 41.941858202708239,-73.74466666651125 41.941858202708239,-73.745 41.942435553246618))"
"POLYGON ((-73.745 41.943590254323382,-73.74466666651125 41.944167604861761,-73.743999999533756 41.944167604861761,-73.743666666045002 41.943590254323382,-73.743999999533756 41.943012903785004,-73.74466666651125 41.943012903785004,-73.745 41.943590254323382))"
"POLYGON ((-73.745 41.944744955400139,-73.74466666651125 41.945322305938518,-73.743999999533756 41.945322305938518,-73.743666666045002 41.944744955400139,-73.743999999533756 41.944167604861761,-73.74466666651125 41.944167604861761,-73.745 41.944744955400139))"
"POLYGON ((-73.745 41.945899656476904,-73.74466666651125 41.946477007015282,-73.743999999533756 41.946477007015282,-73.743666666045002 41.945899656476904,-73.743999999533756 41.945322305938518,-73.74466666651125 41.945322305938518,-73.745 41.945899656476904))"
"POLYGON ((-73.745 41.947054357553661,-73.74466666651125 41.94763170809204,-73.743999999533756 41.94763170809204,-73.743666666045002 41.947054357553661,-73.743999999533756 41.946477007015282,-73.74466666651125 41.946477007015282,-73.745 41.947054357553661))"
"POLYGON ((-73.745 41.948209058630418,-73.74466666651125 41.948786409168804,-73.743999999533756 41.948786409168804,-73.743666666045002 41.948209058630418,-73.743999999533756 41.94763170809204,-73.74466666651125 41.94763170809204,-73.745 41.948209058630418))"
"POLYGON ((-73.745 41.949363759707182,-73.74466666651125 41.949941110245561,-73.743999999533756 41.949941110245561,-73.743666666045002 41.949363759707182,-73.743999999533756 41.948786409168804,-73.74466666651125 41.948786409168804,-73.745 41.949363759707182))"
"POLYGON ((-73.745 41.95051846078394,-73.74466666651125 41.951095811322318,-73.743999999533756 41.951095811322318,-73.743666666045002 41.95051846078394,-73.743999999533756 41.949941110245561,-73.74466666651125 41.949941110245561,-73.745 41.95051846078394))"
"POLYGON ((-73.745 41.951673161860704,-73.74466666651125 41.952250512399083,-73.743999999533756 41.952250512399083,-73.743666666045002 41.951673161860704,-73.743999999533756 41.951095811322318,-73.74466666651125 41.951095811322318,-73.745 41.951673161860704))"
"POLYGON ((-73.745 41.952827862937461,-73.74466666651125 41.95340521347584,-73.743999999533756 41.95340521347584,-73.743666666045002 41.952827862937461,-73.743999999533756 41.952250512399083,-73.74466666651125 41.952250512399083,-73.745 41.952827862937461))"
"POLYGON ((-73.745 41.953982564014218,-73.74466666651125 41.954559914552604,-73.743999999533756 41.954559914552604,-73.743666666045002 41.953982564014218,-73.743999999533756 41.95340521347584,-73.74466666651125 41.95340521347584,-73.745 41.953982564014218))"
"POLYGON ((-73.745 41.955137265090983,-73.74466666651125 41.955714615629361,-73.743999999533756 41.955714615629361,-73.743666666045002 41.955137265090983,-73.743999999533756 41.954559914552604,-73.74466666651125 41.954559914552604,-73.745 41.955137265090983))"
"POLYGON ((-73.745 41.95629196616774,-73.74466666651125 41.956869316706118,-73.743999999533756 41.956869316706118,-73.743666666045002 41.95629196616774,-73.743999999533756 41.955714615629361,-73.74466666651125 41.955714615629361,-73.745 41.95629196616774))"
"POLYGON ((-73.745 41.957446667244497,-73.74466666651125 41.958024017782883,-73.743999999533756 41.958024017782883,-73.743666666045002 41.957446667244497,-73.743999999533756 41.956869316706118,-73.74466666651125 41.956869316706118,-73.745 41.957446667244497))"
"POLYGON ((-73.745 41.958601368321261,-73.74466666651125 41.95917871885964,-73.743999999533756 41.95917871885964,-73.743666666045002 41.958601368321261,-73.743999999533756 41.958024017782883,-73.74466666651125 41.958024017782883,-73.745 41.958601368321261))"
"POLYGON ((-73.745 41.959756069398018,-73.74466666651125 41.960333419936397,-73.743999999533756 41.960333419936397,-73.743666666045002 41.959756069398018,-73.743999999533756 41.95917871885964,-73.74466666651125 41.95917871885964,-73.745 41.959756069398018))"
"POLYGON ((-73.745 41.960910770474783,-73.74466666651125 41.961488121013161,-73.743999999533756 41.961488121013161,-73.743666666045002 41.960910770474783,-73.743999999533756 41.960333419936397,-73.74466666651125 41.960333419936397,-73.745 41.960910770474783))"
"POLYGON ((-73.745 41.96206547155154,-73.74466666651125 41.962642822089919,-73.743999999533756 41.962642822089919,-73.743666666045002 41.96206547155154,-73.743999999533756 41.961488121013161,-73.74466666651125 41.961488121013161,-73.745 41.96206547155154))"
"POLYGON ((-73.745 41.963220172628297,-73.74466666651125 41.963797523166683,-73.743999999533756 41.963797523166683,-73.743666666045002 41.963220172628297,-73.743999999533756 41.962642822089919,-73.74466666651125 41.962642822089919,-73.745 41.963220172628297))"
"POLYGON ((-73.745 41.964374873705061,-73.74466666651125 41.96495222424344,-73.743999999533756 41.96495222424344,-73.743666666045002 41.964374873705061,-73.743999999533756 41.963797523166683,-73.74466666651125 41.963797523166683,-73.745 41.964374873705061))"
"POLYGON ((-73.745 41.965529574781819,-73.74466666651125 41.966106925320197,-73.743999999533756 41.966106925320197,-73.743666666045002 41.965529574781819,-73.743999999533756 41.96495222424344,-73.74466666651125 41.96495222424344,-73.745 41.965529574781819))"
"POLYGON ((-73.745 41.966684275858583,-73.74466666651125 41.967261626396962,-73.743999999533756 41.967261626396962,-73.743666666045002 41.966684275858583,-73.743999999533756 41.966106925320197,-73.74466666651125 41.966106925320197,-73.745 41.966684275858583))"
"POLYGON ((-73.745 41.96783897693534,-73.74466666651125 41.968416327473719,-73.743999999533756 41.968416327473719,-73.743666666045002 41.96783897693534,-73.743999999533756 41.967261626396962,-73.74466666651125 41.967261626396962,-73.745 41.96783897693534))"
"POLYGON ((-73.745 41.968993678012097,-73.74466666651125 41.969571028550483,-73.743999999533756 41.969571028550483,-73.743666666045002 41.968993678012097,-73.743999999533756 41.968416327473719,-73.74466666651125 41.968416327473719,-73.745 41.968993678012097))"
"POLYGON ((-73.745 41.970148379088862,-73.74466666651125 41.97072572962724,-73.743999999533756 41.97072572962724,-73.743666666045002 41.970148379088862,-73.743999999533756 41.969571028550483,-73.74466666651125 41.969571028550483,-73.745 41.970148379088862))"
"POLYGON ((-73.745 41.971303080165619,-73.74466666651125 41.971880430703997,-73.743999999533756 41.971880430703997,-73.743666666045002 41.971303080165619,-73.743999999533756 41.97072572962724,-73.74466666651125 41.97072572962724,-73.745 41.971303080165619))"
"POLYGON ((-73.745 41.972457781242383,-73.74466666651125 41.973035131780762,-73.743999999533756 41.973035131780762,-73.743666666045002 41.972457781242383,-73.743999999533756 41.971880430703997,-73.74466666651125 41.971880430703997,-73.745 41.972457781242383))"
"POLYGON ((-73.745 41.97361248231914,-73.74466666651125 41.974189832857519,-73.743999999533756 41.974189832857519,-73.743666666045002 41.97361248231914,-73.743999999533756 41.973035131780762,-73.74466666651125 41.973035131780762,-73.745 41.97361248231914))"
"POLYGON ((-73.745 41.974767183395898,-73.74466666651125 41.975344533934283,-73.743999999533756 41.975344533934283,-73.743666666045002 41.974767183395898,-73.743999999533756 41.974189832857519,-73.74466666651125 41.974189832857519,-73.745 41.974767183395898))"
"POLYGON ((-73.745 41.975921884472662,-73.74466666651125 41.97649923501104,-73.743999999533756 41.97649923501104,-73.743666666045002 41.975921884472662,-73.743999999533756 41.975344533934283,-73.74466666651125 41.975344533934283,-73.745 41.975921884472662))"
"POLYGON ((-73.745 41.977076585549419,-73.74466666651125 41.977653936087798,-73.743999999533756 41.977653936087798,-73.743666666045002 41.977076585549419,-73.743999999533756 41.97649923501104,-73.74466666651125 41.97649923501104,-73.745 41.977076585549419))"
"POLYGON ((-73.745 41.978231286626183,-73.74466666651125 41.978808637164562,-73.743999999533756 41.978808637164562,-73.743666666045002 41.978231286626183,-73.743999999533756 41.977653936087798,-73.74466666651125 41.977653936087798,-73.745 41.978231286626183))"
"POLYGON ((-73.745 41.97938598770294,-73.74466666651125 41.979963338241319,-73.743999999533756 41.979963338241319,-73.743666666045002 41.97938598770294,-73.743999999533756 41.978808637164562,-73.74466666651125 41.978808637164562,-73.745 41.97938598770294))"
"POLYGON ((-73.745 41.980540688779698,-73.74466666651125 41.981118039318083,-73.743999999533756 41.981118039318083,-73.743666666045002 41.980540688779698,-73.743999999533756 41.979963338241319,-73.74466666651125 41.979963338241319,-73.745 41.980540688779698))"
"POLYGON ((-73.745 41.981695389856462,-73.74466666651125 41.982272740394841,-73.743999999533756 41.982272740394841,-73.743666666045002 41.981695389856462,-73.743999999533756 41.981118039318083,-73.74466666651125 41.981118039318083,-73.745 41.981695389856462))"
"POLYGON ((-73.745 41.982850090933219,-73.74466666651125 41.983427441471598,-73.743999999533756 41.983427441471598,-73.743666666045002 41.982850090933219,-73.743999999533756 41.982272740394841,-73.74466666651125 41.982272740394841,-73.745 41.982850090933219))"
"POLYGON ((-73.745 41.984004792009983,-73.74466666651125 41.984582142548362,-73.743999999533756 41.984582142548362,-73.743666666045002 41.984004792009983,-73.743999999533756 41.983427441471598,-73.74466666651125 41.983427441471598,-73.745 41.984004792009983))"
"POLYGON ((-73.745 41.985159493086741,-73.74466666651125 41.985736843625119,-73.743999999533756 41.985736843625119,-73.743666666045002 41.985159493086741,-73.743999999533756 41.984582142548362,-73.74466666651125 41.984582142548362,-73.745 41.985159493086741))"
"POLYGON ((-73.745 41.986314194163498,-73.74466666651125 41.986891544701884,-73.743999999533756 41.986891544701884,-73.743666666045002 41.986314194163498,-73.743999999533756 41.985736843625119,-73.74466666651125 41.985736843625119,-73.745 41.986314194163498))"
"POLYGON ((-73.745 41.987468895240262,-73.74466666651125 41.988046245778641,-73.743999999533756 41.988046245778641,-73.743666666045002 41.987468895240262,-73.743999999533756 41.986891544701884,-73.74466666651125 41.986891544701884,-73.745 41.987468895240262))"
"POLYGON ((-73.745 41.988623596317019,-73.74466666651125 41.989200946855398,-73.743999999533756 41.989200946855398,-73.743666666045002 41.988623596317019,-73.743999999533756 41.988046245778641,-73.74466666651125 41.988046245778641,-73.745 41.988623596317019))"
"POLYGON ((-73.745 41.989778297393784,-73.74466666651125 41.990355647932162,-73.743999999533756 41.990355647932162,-73.743666666045002 41.989778297393784,-73.743999999533756 41.989200946855398,-73.74466666651125 41.989200946855398,-73.745 41.989778297393784))"
"POLYGON ((-73.745 41.990932998470541,-73.74466666651125 41.991510349008919,-73.743999999533756 41.991510349008919,-73.743666666045002 41.990932998470541,-73.743999999533756 41.990355647932162,-73.74466666651125 41.990355647932162,-73.745 41.990932998470541))"
"POLYGON ((-73.745 41.992087699547298,-73.74466666651125 41.992665050085684,-73.743999999533756 41.992665050085684,-73.743666666045002 41.992087699547298,-73.743999999533756 41.991510349008919,-73.74466666651125 41.991510349008919,-73.745 41.992087699547298))"
"POLYGON ((-73.745 41.993242400624062,-73.74466666651125 41.993819751162441,-73.743999999533756 41.993819751162441,-73.743666666045002 41.993242400624062,-73.743999999533756 41.992665050085684,-73.74466666651125 41.992665050085684,-73.745 41.993242400624062))"
"POLYGON ((-73.745 41.99439710170082,-73.74466666651125 41.994974452239198,-73.743999999533756 41.994974452239198,-73.743666666045002 41.99439710170082,-73.743999999533756 41.993819751162441,-73.74466666651125 41.993819751162441,-73.745 41.99439710170082))"
"POLYGON ((-73.745 41.995551802777584,-73.74466666651125 41.996129153315962,-73.743999999533756 41.996129153315962,-73.743666666045002 41.995551802777584,-73.743999999533756 41.994974452239198,-73.74466666651125 41.994974452239198,-73.745 41.995551802777584))"
"POLYGON ((-73.745 41.996706503854341,-73.74466666651125 41.99728385439272,-73.743999999533756 41.99728385439272,-73.743666666045002 41.996706503854341,-73.743999999533756 41.996129153315962,-73.74466666651125 41.996129153315962,-73.745 41.996706503854341))"
"POLYGON ((-73.745 41.997861204931098,-73.74466666651125 41.998438555469484,-73.743999999533756 41.998438555469484,-73.743666666045002 41.997861204931098,-73.743999999533756 41.99728385439272,-73.74466666651125 41.99728385439272,-73.745 41.997861204931098))"
"POLYGON ((-73.745 41.999015906007862,-73.74466666651125 41.999593256546241,-73.743999999533756 41.999593256546241,-73.743666666045002 41.999015906007862,-73.743999999533756 41.998438555469484,-73.74466666651125 41.998438555469484,-73.745 41.999015906007862))"
"POLYGON ((-73.745 42.00017060708462,-73.74466666651125 42.000747957622998,-73.743999999533756 42.000747957622998,-73.743666666045002 42.00017060708462,-73.743999999533756 41.999593256546241,-73.74466666651125 41.999593256546241,-73.745 42.00017060708462))"
"POLYGON ((-73.745 42.001325308161384,-73.74466666651125 42.001902658699763,-73.743999999533756 42.001902658699763,-73.743666666045002 42.001325308161384,-73.743999999533756 42.000747957622998,-73.74466666651125 42.000747957622998,-73.745 42.001325308161384))"
"POLYGON ((-73.745 42.002480009238141,-73.74466666651125 42.00305735977652,-73.743999999533756 42.00305735977652,-73.743666666045002 42.002480009238141,-73.743999999533756 42.001902658699763,-73.74466666651125 42.001902658699763,-73.745 42.002480009238141))"
"POLYGON ((-73.745 42.003634710314898,-73.74466666651125 42.004212060853277,-73.743999999533756 42.004212060853277,-73.743666666045002 42.003634710314898,-73.743999999533756 42.00305735977652,-73.74466666651125 42.00305735977652,-73.745 42.003634710314898))"
"POLYGON ((-73.745 42.004789411391663,-73.74466666651125 42.005366761930041,-73.743999999533756 42.005366761930041,-73.743666666045002 42.004789411391663,-73.743999999533756 42.004212060853277,-73.74466666651125 42.004212060853277,-73.745 42.004789411391663))"
"POLYGON ((-73.745 42.00594411246842,-73.74466666651125 42.006521463006798,-73.743999999533756 42.006521463006798,-73.743666666045002 42.00594411246842,-73.743999999533756 42.005366761930041,-73.74466666651125 42.005366761930041,-73.745 42.00594411246842))"
"POLYGON ((-73.745 42.007098813545184,-73.74466666651125 42.007676164083563,-73.743999999533756 42.007676164083563,-73.743666666045002 42.007098813545184,-73.743999999533756 42.006521463006798,-73.74466666651125 42.006521463006798,-73.745 42.007098813545184))"
"POLYGON ((-73.745 42.008253514621941,-73.74466666651125 42.00883086516032,-73.743999999533756 42.00883086516032,-73.743666666045002 42.008253514621941,-73.743999999533756 42.007676164083563,-73.74466666651125 42.007676164083563,-73.745 42.008253514621941))"
"POLYGON ((-73.745 42.009408215698699,-73.74466666651125 42.009985566237077,-73.743999999533756 42.009985566237077,-73.743666666045002 42.009408215698699,-73.743999999533756 42.00883086516032,-73.74466666651125 42.00883086516032,-73.745 42.009408215698699))"
"POLYGON ((-73.745 42.010562916775463,-73.74466666651125 42.011140267313841,-73.743999999533756 42.011140267313841,-73.743666666045002 42.010562916775463,-73.743999999533756 42.009985566237077,-73.74466666651125 42.009985566237077,-73.745 42.010562916775463))"
"POLYGON ((-73.745 42.01171761785222,-73.74466666651125 42.012294968390599,-73.743999999533756 42.012294968390599,-73.743666666045002 42.01171761785222,-73.743999999533756 42.011140267313841,-73.74466666651125 42.011140267313841,-73.745 42.01171761785222))"
